Symbol\Weightage,['apr12']
INFY,6.92
ITC,8.81
JINDALSTEL,0.82
JPASSOCIAT,0.44
KOTAKBANK,1.31
LT,4.39
M&M,2.12
MARUTI,0.92
NTPC,1.31
ONGC,2.97
PNB,0.55
POWERGRID,1.03
RANBAXY,0.51
RELIANCE,7.74
RELINFRA,0.37
SAIL,0.28
SBIN,2.88
SESAGOA,0.41
SIEMENS,0.35
STER,0.82
SUNPHARMA,1.53
TATAMOTORS,2.52
TATAPOWER,0.98
TATASTEEL,1.46
TCS,4.16
WIPRO,1.14
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug13']
,%
ACC,0.52
AMBUJACEM,0.75
ASIANPAINT,1.09
AXISBANK,1.48
BAJAJ-AUTO,1.41
BANKBARODA,0.5
BHARTIARTL,2.04
BHEL,0.54
BPCL,0.4
CAIRN,1.09
CIPLA,1.21
COALINDIA,0.91
DLF,0.33
DRREDDY,1.67
GAIL,0.76
GRASIM,0.82
HCLTECH,1.58
HDFC,6.41
HDFCBANK,6.29
HEROMOTOCO,1.12
HINDALCO,0.78
HINDUNILVR,2.56
ICICIBANK,5.32
IDFC,0.57
INDUSINDBK,0.87
INFY,8.59
ITC,9.73
JINDALSTEL,0.49
JPASSOCIAT,0.23
KOTAKBANK,1.43
LT,3.38
LUPIN,1.09
M&M,2.07
MARUTI,0.94
NMDC,0.54
NTPC,1.55
ONGC,2.53
PNB,0.37
POWERGRID,0.79
RANBAXY,0.36
RELIANCE,8.05
RELINFRA,0.27
SBIN,2.25
SESAGOA,0.42
SUNPHARMA,2.25
TATAMOTORS,3.08
TATAPOWER,0.7
TATASTEEL,1.05
TCS,5.95
ULTRACEMCO,0.86
,100
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug14.zip']
,%
ACC,0.52
AMBUJACEM,0.59
ASIANPAINT,1.05
AXISBANK,2.48
BAJAJ-AUTO,1.13
BANKBARODA,0.61
BHARTIARTL,1.91
BHEL,0.81
BPCL,0.67
CAIRN,0.69
CIPLA,0.97
COALINDIA,0.87
DLF,0.30
DRREDDY,1.40
GAIL,0.77
GRASIM,0.81
HCLTECH,1.63
HDFC,6.28
HDFCBANK,5.88
HEROMOTOCO,1.17
HINDALCO,0.82
HINDUNILVR,1.96
ICICIBANK,6.72
IDFC,0.68
INDUSINDBK,0.94
INFY,6.48
ITC,7.35
JINDALSTEL,0.31
KOTAKBANK,1.65
LT,4.65
LUPIN,1.15
M&M,2.42
MARUTI,1.37
MCDOWELL-N,0.45
NMDC,0.50
NTPC,1.06
ONGC,2.91
PNB,0.53
POWERGRID,1.06
RELIANCE,6.13
SBIN,2.84
SSLT,1.21
SUNPHARMA,2.40
TATAMOTORS,3.52
TATAPOWER,0.59
TATASTEEL,1.28
TCS,4.81
TECHM,1.32
ULTRACEMCO,0.97
WIPRO,1.38
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug15.zip']
ACC,0.44
AMBUJACEM,0.57
ASIANPAINT,1.36
AXISBANK,3.03
BAJAJ-AUTO,1.08
BANKBARODA,0.62
BHARTIARTL,1.74
BHEL,0.73
BOSCHLTD,0.74
BPCL,0.81
CAIRN,0.3
CIPLA,1.23
COALINDIA,1.67
DRREDDY,1.94
GAIL,0.49
GRASIM,0.78
HCLTECH,1.91
HDFC,6.63
HDFCBANK,7.18
HEROMOTOCO,1.04
HINDALCO,0.37
HINDUNILVR,2.17
ICICIBANK,5.72
IDEA,0.62
INDUSINDBK,1.48
INFY,7.75
ITC,6.46
KOTAKBANK,2.37
LT,4.65
LUPIN,1.65
M&M,2
MARUTI,1.95
NMDC,0.28
NTPC,0.89
ONGC,1.52
PNB,0.38
POWERGRID,1.02
RELIANCE,5.01
SBIN,2.71
SUNPHARMA,3.47
TATAMOTORS,2.29
TATAPOWER,0.39
TATASTEEL,0.53
TCS,4.65
TECHM,1.11
ULTRACEMCO,1.05
VEDL,0.39
WIPRO,1.3
YESBANK,0.8
ZEEL,0.75
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug16.zip']
ACC,0.50
ADANIPORTS,0.73
AMBUJACEM,0.67
ASIANPAINT,1.62
AUROPHARMA,0.66
AXISBANK,3.09
BAJAJ-AUTO,1.25
BANKBARODA,0.48
BHEL,0.39
BPCL,0.97
BHARTIARTL,1.35
INFRATEL,0.58
BOSCHLTD,0.68
CIPLA,0.90
COALINDIA,1.30
DRREDDY,1.21
EICHERMOT,0.94
GAIL,0.56
GRASIM,0.93
HCLTECH,1.36
HDFCBANK,8.02
HEROMOTOCO,1.40
HINDALCO,0.63
HINDUNILVR,2.03
HDFC,6.89
ITC,6.82
ICICIBANK,4.65
IDEA,0.36
INDUSINDBK,1.82
INFY,6.41
KOTAKBANK,2.89
LT,3.84
LUPIN,1.10
M&M,2.07
MARUTI,2.08
NTPC,1.22
ONGC,1.31
POWERGRID,1.25
RELIANCE,5.43
SBIN,2.43
SUNPHARMA,2.60
TCS,4.14
TATAMTRDVR,0.54
TATAMOTORS,3.22
TATAPOWER,0.44
TATASTEEL,0.77
TECHM,0.90
ULTRACEMCO,1.30
WIPRO,0.98
YESBANK,1.39
ZEEL,0.91
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug17.zip']
ACC,0.41
ADANIPORTS,0.85
AMBUJACEM,0.55
ASIANPAINT,1.40
AUROPHARMA,0.54
AXISBANK,2.27
BAJAJ-AUTO,1.02
BANKBARODA,0.35
BPCL,1.10
BHARTIARTL,1.50
INFRATEL,0.70
BOSCHLTD,0.54
CIPLA,0.77
COALINDIA,0.83
DRREDDY,0.65
EICHERMOT,1.12
GAIL,0.65
HCLTECH,1.32
HDFCBANK,9.60
HEROMOTOCO,1.38
HINDALCO,0.93
HINDUNILVR,2.32
HDFC,7.53
ITC,6.40
ICICIBANK,5.09
IBULHSGFIN,1.05
IOC,1.24
INDUSINDBK,2.22
INFY,4.88
KOTAKBANK,3.16
LT,3.73
LUPIN,0.63
M&M,1.67
MARUTI,2.73
NTPC,1.11
ONGC,1.18
POWERGRID,1.28
RELIANCE,7.05
SBIN,2.75
SUNPHARMA,1.42
TCS,3.54
TATAMTRDVR,0.30
TATAMOTORS,1.88
TATAPOWER,0.38
TATASTEEL,1.14
TECHM,0.71
ULTRACEMCO,1.11
VEDL,1.53
WIPRO,1.01
YESBANK,1.71
ZEEL,0.76
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug18.zip']
ADANIPORTS,0.58
ASIANPAINT,1.34
AXISBANK,2.42
BAJAJ-AUTO,0.81
BAJFINANCE,1.47
BAJAJFINSV,0.88
BPCL,0.61
BHARTIARTL,1.10
INFRATEL,0.53
CIPLA,0.73
COALINDIA,0.81
DRREDDY,0.65
EICHERMOT,0.83
GAIL,0.71
GRASIM,0.91
HCLTECH,1.26
HDFCBANK,9.19
HEROMOTOCO,0.92
HINDALCO,0.75
HINDPETRO,0.41
HINDUNILVR,2.76
HDFC,6.77
ITC,5.92
ICICIBANK,4.78
IBULHSGFIN,0.90
IOC,0.72
INDUSINDBK,2.11
INFY,5.94
KOTAKBANK,3.72
LT,3.66
LUPIN,0.48
M&M,1.95
MARUTI,2.62
NTPC,1.17
ONGC,1.10
POWERGRID,0.98
RELIANCE,9.46
SBIN,2.52
SUNPHARMA,1.56
TCS,4.83
TATAMOTORS,1.07
TATASTEEL,0.98
TECHM,1.04
TITAN,0.81
UPL,0.57
ULTRACEMCO,1.01
VEDL,0.92
WIPRO,0.74
YESBANK,1.37
ZEEL,0.60
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug19.zip']
ADANIPORTS,0.64
ASIANPAINT,1.62
AXISBANK,3.02
BAJAJ-AUTO,0.81
BAJFINANCE,1.76
BAJAJFINSV,0.96
BPCL,0.63
BHARTIARTL,1.47
INFRATEL,0.47
BRITANNIA,0.71
CIPLA,0.53
COALINDIA,0.73
DRREDDY,0.69
EICHERMOT,0.50
GAIL,0.53
GRASIM,0.62
HCLTECH,1.33
HDFCBANK,10.70
HEROMOTOCO,0.74
HINDALCO,0.60
HINDUNILVR,2.99
HDFC,8.29
ICICIBANK,5.88
ITC,4.69
IBULHSGFIN,0.34
IOC,0.67
INDUSINDBK,1.68
INFY,6.89
JSWSTEEL,0.49
KOTAKBANK,4.26
LT,3.65
M&M,1.10
MARUTI,1.81
NTPC,1.18
ONGC,0.85
POWERGRID,1.05
RELIANCE,9.51
SBIN,2.34
SUNPHARMA,1.11
TCS,5.28
TATAMOTORS,0.46
TATASTEEL,0.58
TECHM,0.97
TITAN,1.03
UPL,0.69
ULTRACEMCO,0.94
VEDL,0.56
WIPRO,0.89
YESBANK,0.25
ZEEL,0.49
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug20.zip']
ADANIPORTS,0.55
ASIANPAINT,1.77
AXISBANK,2.54
BAJAJ-AUTO,0.80
BAJFINANCE,1.91
BAJAJFINSV,0.77
BPCL,0.68
BHARTIARTL,2.55
INFRATEL,0.35
BRITANNIA,0.91
CIPLA,0.75
COALINDIA,0.58
DRREDDY,1.07
EICHERMOT,0.60
GAIL,0.37
GRASIM,0.55
HCLTECH,1.56
HDFCBANK,9.99
HDFCLIFE,0.86
HEROMOTOCO,0.81
HINDALCO,0.56
HINDUNILVR,3.91
HDFC,6.55
ICICIBANK,5.62
ITC,3.45
IOC,0.45
INDUSINDBK,0.79
INFY,7.03
JSWSTEEL,0.57
KOTAKBANK,4.24
LT,2.39
M&M,1.20
MARUTI,1.88
NTPC,0.97
NESTLEIND,1.18
ONGC,0.62
POWERGRID,0.95
RELIANCE,13.63
SHREECEM,0.56
SBIN,1.68
SUNPHARMA,1.16
TCS,4.90
TATAMOTORS,0.53
TATASTEEL,0.63
TECHM,0.95
TITAN,0.95
UPL,0.58
ULTRACEMCO,0.93
WIPRO,0.83
ZEEL,0.38
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug21.zip']
